"officename","pincode","officeType","Deliverystatus","divisionname","regionname","circlename","Taluk","Districtname","statename","MAC"
"Kotla Samashpur B.O","141114","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Lehal B.O","141117","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Litter B.O","141107","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Maheran Kalan B.O","141205","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Raikot","Ludhiana","PUNJAB","MAC"
"Mal Majra B.O","141114","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Morkarima B.O","142023","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Neelon Kalan B.O","141114","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Otalan B.O","141114","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Pohiar B.O","141204","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Punjgarain B.O","141115","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Rajoana Kalan B.O","141107","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Rangowal B.O","141205","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Rattangarh B.O","141127","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Sadarpura B.O","142033","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Samrala City S.O","141114","S.O","Non-Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Samrala","Ludhiana","PUNJAB","MAC"
"Sehbazpura B.O","141109","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Raikot","Ludhiana","PUNJAB","MAC"
"Sodhiwal B.O","142033","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Sohian B.O","142023","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Talwandi Rai B.O","141109","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Tihara B.O","142033","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Tossey B.O","141105","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Barhmi B.O","141107","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Barsal B.O","142024","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Bharthala B.O","141114","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Bhundri B.O","142025","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Bhutta B.O","141206","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana (East)","Ludhiana","PUNJAB","MAC"
"Bija Kalan B.O","141412","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Bodalwala B.O","142024","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Jagraon","Ludhiana","PUNJAB","MAC"
"Bowani B.O","141421","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Chajjewal B.O","142030","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Dhindsa B.O","141114","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Dhulkot B.O","141204","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana (West)","Ludhiana","PUNJAB","MAC"
"Doraha S.O (Ludhiana)","141421","S.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","NA","Ludhiana","PUNJAB","MAC"
"Ghungrali Sikhan B.O","141114","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Samrala","Ludhiana","PUNJAB","MAC"
"Hambowal B.O","141115","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Hassanpur B.O","141102","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Kila Raipur S.O","141201","S.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Kishangarh B.O","141412","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Khanna","Ludhiana","PUNJAB","MAC"
"Kot Gangu Rai B.O","141113","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Lalton Kalan S.O","142022","S.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana (West)","Ludhiana","PUNJAB","MAC"
"Lalton Khurd B.O","142022","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana (West)","Ludhiana","PUNJAB","MAC"
"Lamme B.O","142034","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Libra B.O","141412","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Khanna","Ludhiana","PUNJAB","MAC"
"Lohat baddi B.O","141109","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Raikot","Ludhiana","PUNJAB","MAC"
"Malak B.O","142024","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Jagraon","Ludhiana","PUNJAB","MAC"
"Mohie S.O","141103","S.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Nagra B.O","141114","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Pakhowal S.O","141108","S.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Pawa B.O","141120","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Phalewal B.O","141202","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Rajewal B.O","141114","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Rajgarh B.O","141421","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Rurka B.O","141101","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Sanehwal S.O","141120","S.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana (East)","Ludhiana","PUNJAB","MAC"
"Sangatpura B.O","142024","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Sarwarpur B.O","141114","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Sherpur Bet B.O","141121","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Samrala","Ludhiana","PUNJAB","MAC"
"Sri Bhaini Sahib S.O","141126","S.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana (East)","Ludhiana","PUNJAB","MAC"
"Tuggal B.O","142023","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Baddowal S.O","142021","S.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Bassian S.O","142032","S.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Ber Khurd B.O","141119","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Bharthala Randhawa B.O","141415","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Bilaspur B.O","141421","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Khamanon","Fatehgarh Sahib","PUNJAB","MAC"
"Daheru S.O","141412","S.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Khanna","Ludhiana","PUNJAB","MAC"
"Dhandran B.O","141116","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Dhudhal Kalan B.O","141119","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Payal","Ludhiana","PUNJAB","MAC"
"Doburji B.O","141421","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Dulley B.O","141116","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana (West)","Ludhiana","PUNJAB","MAC"
"Ghawaddi S.O","141206","S.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Ghudani Kalan S.O","141419","S.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Hans Kalan B.O","142030","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Jagraon","Ludhiana","PUNJAB","MAC"
"Jargari B.O","141415","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana  ludhiana","Ludhiana","PUNJAB","MAC"
"Jassowal B.O","141116","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Kalal Majra B.O","141417","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Khanna","Ludhiana","PUNJAB","MAC"
"Kalas B.O","141109","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Raikot","Ludhiana","PUNJAB","MAC"
"Kotala B.O","141125","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Kotla Bhari B.O","141417","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Khanna","Ludhiana","PUNJAB","MAC"
"Kular B.O","142023","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Lubangarh B.O","141115","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Maloudh S.O","141119","S.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Payal","Ludhiana","PUNJAB","MAC"
"Manki Bhagour B.O","141114","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Mehma Singh Wala B.O","141203","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Muskabad B.O","141114","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Nandpur B.O","141120","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana (East)","Ludhiana","PUNJAB","MAC"
"Nangal Khurd B.O","141108","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Nathowal B.O","142032","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Purain B.O","141110","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Ramgarh Sardaran B.O","141119","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Rattowal B.O","141105","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Rauni B.O","141415","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Salaudi B.O","141417","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Saya Kalan B.O","141118","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Seh B.O","141417","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Sihan Daud B.O","141119","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Takhran B.O","141115","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Uppal B.O","141113","B.O","Delivery","Ludhiana Moffusil","Chandigarh HQ","Punjab","Ludhiana","Ludhiana","PUNJAB","MAC"
"Barsat B.O","147201","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Patiala","Patiala","PUNJAB","MAC"
"Behmna B.O","147101","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Samana","Patiala","PUNJAB","MAC"
"Bhagrana B.O","140602","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Derabassi","Patiala","PUNJAB","MAC"
"Bhari Panaich B.O","147202","B.O","Non-Delivery","Patiala","Chandigarh HQ","Punjab","Nabha","Patiala","PUNJAB","MAC"
"Bhari S.O","141411","S.O","Delivery","Patiala","Chandigarh HQ","Punjab","Khamanon","Fatehgarh Sahib","PUNJAB","MAC"
"Bhedwala B.O","140412","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Bassi Pathana","Patiala","PUNJAB","MAC"
"Binaheri B.O","147201","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Nabha","Patiala","PUNJAB","MAC"
"Buras B.O","140602","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Fatehgarh Sahib","Fatehgarh Sahib","PUNJAB","MAC"
"Dhangerian B.O","140406","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Sirhind","Fatehgarh Sahib","PUNJAB","MAC"
"Dharamgarh B.O","140501","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Derabassi","Mohali","PUNJAB","MAC"
"Dhundan B.O","140412","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Bassi","Fatehgarh Sahib","PUNJAB","MAC"
"Gajjumajra B.O","147101","B.O","Non-Delivery","Patiala","Chandigarh HQ","Punjab","Patiala","Patiala","PUNJAB","MAC"
"Ghagga S.O","147102","S.O","Delivery","Patiala","Chandigarh HQ","Punjab","NA","Patiala","PUNJAB","MAC"
"Govt. Printing Press S.O","147004","S.O","Delivery","Patiala","Chandigarh HQ","Punjab","Patiala","Patiala","PUNJAB","MAC"
"Hawara Kalan B.O","140802","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Khamanon","Patiala","PUNJAB","MAC"
"Kaleh Majra B.O","147201","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Nabha","Patiala","PUNJAB","MAC"
"Kotla B.O","140402","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Rajpura","Patiala","PUNJAB","MAC"
"Kotla Badla B.O","141411","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Khamanon","Fatehgarh Sahib","PUNJAB","MAC"
"Mulanpur Kalan B.O","140405","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Rajpura","Fatehgarh Sahib","PUNJAB","MAC"
"Mullepur B.O","147004","B.O","Non-Delivery","Patiala","Chandigarh HQ","Punjab","Fatehgarh Sahib","Patiala","PUNJAB","MAC"
"Nial B.O","147105","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Samana","Patiala","PUNJAB","MAC"
"Nogawan B.O","140412","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Bassi","Patiala","PUNJAB","MAC"
"Panjokha B.O","140802","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Khamanon","Patiala","PUNJAB","MAC"
"Pola B.O","140402","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Rajpura","Patiala","PUNJAB","MAC"
"Raipur Majri B.O","141411","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Khamanoo","Ludhiana","PUNJAB","MAC"
"Rajindergarh B.O","140406","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Fatehgarh Sahib","Fatehgarh Sahib","PUNJAB","MAC"
"Rampur Landiali B.O","140406","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Fatehgarh Sahib","Patiala","PUNJAB","MAC"
"Shergarh B.O","147105","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Samana","Patiala","PUNJAB","MAC"
"Sidhuwal B.O","147006","B.O","Non-Delivery","Patiala","Chandigarh HQ","Punjab","Patiala","Patiala","PUNJAB","MAC"
"Tepla B.O","140417","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Rajpura","Patiala","PUNJAB","MAC"
"Thuha B.O","140417","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Rajpura","Patiala","PUNJAB","MAC"
"Thuhi B.O","147201","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Nabha","Patiala","PUNJAB","MAC"
"Urdan B.O","140602","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Derabassi","Patiala","PUNJAB","MAC"
"Ajnoda Kalan B.O","147201","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Nabha","Patiala","PUNJAB","MAC"
"Ajrawar B.O","140701","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Rajpura","Patiala","PUNJAB","MAC"
"Balhari Kalan B.O","140406","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Sirhind","Fatehgarh Sahib","PUNJAB","MAC"
"Banur S.O","140601","S.O","Delivery","Patiala","Chandigarh HQ","Punjab","NA","Patiala","PUNJAB","MAC"
"Barwali Khurd B.O","141411","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Khamanoo","Patiala","PUNJAB","MAC"
"Bhamarsibuland B.O","140405","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Rajpura","Fatehgarh Sahib","PUNJAB","MAC"
"Chalela B.O","147006","B.O","Non-Delivery","Patiala","Chandigarh HQ","Punjab","Patiala","Patiala","PUNJAB","MAC"
"Chatt B.O","140601","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Rajpura","Patiala","PUNJAB","MAC"
"Civil Lines Patiala S.O","147001","S.O","Non-Delivery","Patiala","Chandigarh HQ","Punjab","Patiala","Patiala","PUNJAB","MAC"
"Daftari Wala B.O","147105","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Samana","Patiala","PUNJAB","MAC"
"Dandrala Dhindsa B.O","147201","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Nabha","Patiala","PUNJAB","MAC"
"Dulwan B.O","140802","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Khamanon","Patiala","PUNJAB","MAC"
"Fatehgarh Sahib S.O","140407","S.O","Delivery","Patiala","Chandigarh HQ","Punjab","Fatehgarh Sahib","Fatehgarh Sahib","PUNJAB","MAC"
"Gajewas B.O","147101","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Samana","Patiala","PUNJAB","MAC"
"Gharam B.O","147111","B.O","Non-Delivery","Patiala","Chandigarh HQ","Punjab","Patiala","Patiala","PUNJAB","MAC"
"Gunike B.O","147201","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Nabha","Patiala","PUNJAB","MAC"
"Guruteghbahadurgarh S.O","147021","S.O","Delivery","Patiala","Chandigarh HQ","Punjab","Patiala","Patiala","PUNJAB","MAC"
"IFP Rajpura S.O","140401","S.O","Non-Delivery","Patiala","Chandigarh HQ","Punjab","Rajpura","Patiala","PUNJAB","MAC"
"Jaurian Bhattian S.O","147001","S.O","Non-Delivery","Patiala","Chandigarh HQ","Punjab","Patiala","Patiala","PUNJAB","MAC"
"Jeoli B.O","140501","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Derabassi","Mohali","PUNJAB","MAC"
"Jharmari B.O","140501","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Derabassi","Mohali","PUNJAB","MAC"
"Jogewal B.O","147105","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Samana","Patiala","PUNJAB","MAC"
"Karhali B.O","147101","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Patiala","Patiala","PUNJAB","MAC"
"Khanian B.O","147203","B.O","Non-Delivery","Patiala","Chandigarh HQ","Punjab","Amloh (P)","Patiala","PUNJAB","MAC"
"KSM Rajpura S.O","140401","S.O","Non-Delivery","Patiala","Chandigarh HQ","Punjab","Rajpura","Patiala","PUNJAB","MAC"
"Law Court S.O","147001","S.O","Non-Delivery","Patiala","Chandigarh HQ","Punjab","Patiala","Patiala","PUNJAB","MAC"
"Machhli Kalan B.O","140602","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Kharar","Rupnagar","PUNJAB","MAC"
"Majithia Enclave S.O","147005","S.O","Delivery","Patiala","Chandigarh HQ","Punjab","Patiala","Patiala","PUNJAB","MAC"
"Mallewal B.O","147202","B.O","Non-Delivery","Patiala","Chandigarh HQ","Punjab","Nabha","Patiala","PUNJAB","MAC"
"Mandigobindgarh It S.O","147301","S.O","Non-Delivery","Patiala","Chandigarh HQ","Punjab","S.A.S.Nagar (Mohali)","Fatehgarh Sahib","PUNJAB","MAC"
"Mandigobindgarh S.O","147301","S.O","Delivery","Patiala","Chandigarh HQ","Punjab","S.A.S.Nagar (Mohali)","Fatehgarh Sahib","PUNJAB","MAC"
"Nahar Industry Jalalpur B.O","140506","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Dera Bassi","Patiala","PUNJAB","MAC"
"Nandpur Kalaur B.O","140412","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Bassi","Fatehgarh Sahib","PUNJAB","MAC"
"Nandpur Kesho B.O","147004","B.O","Non-Delivery","Patiala","Chandigarh HQ","Punjab","Patiala","Patiala","PUNJAB","MAC"
"Narru B.O","140701","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Rajpura","Patiala","PUNJAB","MAC"
"Patiala City S.O","147001","S.O","Non-Delivery","Patiala","Chandigarh HQ","Punjab","Patiala","Patiala","PUNJAB","MAC"
"Patran S.O","147105","S.O","Delivery","Patiala","Chandigarh HQ","Punjab","Samana","Patiala","PUNJAB","MAC"
"Pharaur B.O","141801","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Khamanon","Fatehgarh Sahib","PUNJAB","MAC"
"Rajgarh B.O","147201","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Nabha","Patiala","PUNJAB","MAC"
"Rajpura H.O","140401","H.O","Delivery","Patiala","Chandigarh HQ","Punjab","Rajpura","Patiala","PUNJAB","MAC"
"Ramgarh B.O","147202","B.O","Non-Delivery","Patiala","Chandigarh HQ","Punjab","Bassi Pathana","Patiala","PUNJAB","MAC"
"Reona Ucha B.O","140406","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Sirhind","Fatehgarh Sahib","PUNJAB","MAC"
"Roorki B.O","147104","B.O","Non-Delivery","Patiala","Chandigarh HQ","Punjab","Amloh (P)","Patiala","PUNJAB","MAC"
"Samgoli B.O","140501","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Derabassi","Mohali","PUNJAB","MAC"
"Sheran Wala Gate Patiala S.O","147001","S.O","Non-Delivery","Patiala","Chandigarh HQ","Punjab","Patiala","Patiala","PUNJAB","MAC"
"Sidhpur kalan B.O","140802","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Khamanon","Patiala","PUNJAB","MAC"
"Ugani B.O","140402","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Rajpura","Patiala","PUNJAB","MAC"
"Aero Kalan B.O","147111","B.O","Non-Delivery","Patiala","Chandigarh HQ","Punjab","Patiala","Patiala","PUNJAB","MAC"
"Basantpura B.O","140402","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Rajpura","Patiala","PUNJAB","MAC"
"Chamaru B.O","140402","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Rajpura","Patiala","PUNJAB","MAC"
"Chinarthal Kalan S.O","147104","S.O","Delivery","Patiala","Chandigarh HQ","Punjab","Fatehgarh Sahib","Patiala","PUNJAB","MAC"
"D C W S.O","147003","S.O","Delivery","Patiala","Chandigarh HQ","Punjab","Patiala","Patiala","PUNJAB","MAC"
"Dakaunda B.O","147104","B.O","Non-Delivery","Patiala","Chandigarh HQ","Punjab","Nabha","Patiala","PUNJAB","MAC"
"Dhankansu Kalan B.O","140402","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Rajpura","Patiala","PUNJAB","MAC"
"Dhuman B.O","140602","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Derabassi","Patiala","PUNJAB","MAC"
"Hargana B.O","141411","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Khamanon","Fatehgarh Sahib","PUNJAB","MAC"
"Harlalpur B.O","140406","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Sirhind","Fatehgarh Sahib","PUNJAB","MAC"
"Jatana Ucha B.O","141801","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Khamanon","Fatehgarh Sahib","PUNJAB","MAC"
"Jaula Kalan B.O","140501","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Derabassi","Mohali","PUNJAB","MAC"
"Jogipur B.O","147021","B.O","Non-Delivery","Patiala","Chandigarh HQ","Punjab","Patiala","Patiala","PUNJAB","MAC"
"Kakrala B.O","147201","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Nabha","Patiala","PUNJAB","MAC"
"Khadauli B.O","140402","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Rajpura","Patiala","PUNJAB","MAC"
"Khanewal B.O","147105","B.O","Delivery","Patiala","Chandigarh HQ","Punjab","Samana","Patiala","PUNJAB","MAC"
