"officename","pincode","officeType","Deliverystatus","divisionname","regionname","circlename","Taluk","Districtname","statename","STC"
"Veerapura B.O","562163","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Doddaballpura","Bangalore Rural","KARNATAKA","STC"
"Virupakshipura B.O","562138","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Channapatna","Ramanagar","KARNATAKA","STC"
"Yadamaranahalli B.O","562117","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Kanakapura","Ramanagar","KARNATAKA","STC"
"Aluru B.O","562162","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Nelamangala","Bangalore Rural","KARNATAKA","STC"
"Attibele S.O","562107","S.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Anekal","Bangalore","KARNATAKA","STC"
"Biskur B.O","562131","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Magadi","Bangalore Rural","KARNATAKA","STC"
"Cheelur B.O","562112","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Kanakapura","Ramanagar","KARNATAKA","STC"
"Chikkajala B.O","562157","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Bg North","Bangalore","KARNATAKA","STC"
"Gantiganahalli B.O","561205","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Dodballapura","Bangalore Rural","KARNATAKA","STC"
"Girenahalli B.O","562112","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Kanakapura","Ramanagar","KARNATAKA","STC"
"Government Silk Farm S.O","562161","S.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Channapatna","Ramanagar","KARNATAKA","STC"
"Hanabe B.O","561203","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Dodballapura","Bangalore Rural","KARNATAKA","STC"
"Harathi B.O","562120","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Magadi","Ramanagar","KARNATAKA","STC"
"Harohalli S.O","562112","S.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Kanakapura","Ramanagar","KARNATAKA","STC"
"Honnasandra B.O","562123","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Nelamangala","Bangalore Rural","KARNATAKA","STC"
"Indalavadi B.O","562106","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Anekal","Bangalore","KARNATAKA","STC"
"Ittmadu B.O","562109","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Ramangara","Ramanagar","KARNATAKA","STC"
"Jadigenahalli B.O","562114","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Hoskote","Bangalore Rural","KARNATAKA","STC"
"Kallanakupppe B.O","562121","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Kanakapura","Ramanagar","KARNATAKA","STC"
