"officename","pincode","officeType","Deliverystatus","divisionname","regionname","circlename","Taluk","Districtname","statename","STC"
"Antop Hill S.O","400037","S.O","Delivery","Mumbai  East","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Dadar H.O","400014","H.O","Delivery","Mumbai  East","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Sewri S.O","400015","S.O","Delivery","Mumbai  East","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"V J B Udyan S.O","400027","S.O","Delivery","Mumbai  East","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Chinchbunder H.O","400009","H.O","Delivery","Mumbai  East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Parel S.O","400012","S.O","Delivery","Mumbai  East","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Tank Road S.O","400033","S.O","Delivery","Mumbai  East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Mazgaon S.O","400010","S.O","Delivery","Mumbai  East","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Wadala S.O","400031","S.O","Delivery","Mumbai  East","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Mandvi S.O (Mumbai)","400003","S.O","Delivery","Mumbai  East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Andheri Railway Station S.O","400058","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"J.B. Nagar S.O","400059","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Vesava S.O","400061","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Vileeparle (East) S.O","400057","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Khar Delivery S.O","400052","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Andheri East S.O","400069","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Bandra West S.O","400050","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Chakala Midc S.O","400093","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Sahar P & T Colony S.O","400099","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Vidyanagari S.O","400098","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Vileparle(West) S.O","400056","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Bandra(East) S.O","400051","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Santacruz P&t Colony S.O","400029","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Santacruz(West) S.O","400054","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Seepz S.O","400096","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Azad Nagar S.O (Mumbai)","400053","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Juhu S.O","400049","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Santacruz(East) S.O","400055","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Bhandup West S.O","400078","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Ghatkopar West S.O","400086","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Mulund West S.O","400080","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Bhandup Complex S.O","400082","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"FCI S.O","400074","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"NITIE S.O","400087","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Pant Nagar S.O","400075","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Rajawadi S.O","400077","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Sakinaka S.O","400072","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Vikhroli S.O","400079","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Anushakti Nagar S.O","400094","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"BARC S.O","400085","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Chembur H.O","400071","H.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Nehru Nagar S.O (Mumbai)","400024","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"T.F.Donar S.O","400088","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Tagore Nagar S.O","400083","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Barve Nagar S.O","400084","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Mulund East S.O","400081","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Powai Iit S.O","400076","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Tilak Nagar S.O (Mumbai)","400089","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Bhandup East S.O","400042","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Sion S.O","400022","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Kurla S.O","400070","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Matunga S.O","400019","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Shivaji Nagar S.O (Mumbai)","400043","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Goregaon East S.O","400063","S.O","Delivery","Mumbai  North West","Mumbai","Maharashtra","Goregaon East","Mumbai","MAHARASHTRA","STC"
"Jogeshwari East S.O","400060","S.O","Delivery","Mumbai  North West","Mumbai","Maharashtra","Jogeshwari East","Mumbai","MAHARASHTRA","STC"
"Kandivali West S.O","400067","S.O","Delivery","Mumbai  North West","Mumbai","Maharashtra","Kandivali West","Mumbai","MAHARASHTRA","STC"
"Kharodi S.O","400095","S.O","Delivery","Mumbai  North West","Mumbai","Maharashtra","Malad West","Mumbai","MAHARASHTRA","STC"
"Jogeshwari West S.O","400102","S.O","Delivery","Mumbai  North West","Mumbai","Maharashtra","Jogeshwari West","Mumbai","MAHARASHTRA","STC"
"Borivali H.O","400091","H.O","Delivery","Mumbai  North West","Mumbai","Maharashtra","Borivali West","Mumbai","MAHARASHTRA","STC"
"Dahisar S.O","400068","S.O","Delivery","Mumbai  North West","Mumbai","Maharashtra","Dahisar East","Mumbai","MAHARASHTRA","STC"
"Malad East S.O","400097","S.O","Delivery","Mumbai  North West","Mumbai","Maharashtra","Malad East","Mumbai","MAHARASHTRA","STC"
"Aareymilk Colony S.O","400065","S.O","Delivery","Mumbai  North West","Mumbai","Maharashtra","Goregaon East","Mumbai","MAHARASHTRA","STC"
"Kandivali East S.O","400101","S.O","Delivery","Mumbai  North West","Mumbai","Maharashtra","Kandivali East","Mumbai","MAHARASHTRA","STC"
"Borivali East S.O","400066","S.O","Delivery","Mumbai  North West","Mumbai","Maharashtra","Borivlai East","Mumbai","MAHARASHTRA","STC"
"Borivali West S.O","400092","S.O","Delivery","Mumbai  North West","Mumbai","Maharashtra","Borivali West","Mumbai","MAHARASHTRA","STC"
"Malad West Dely S.O","400064","S.O","Delivery","Mumbai  North West","Mumbai","Maharashtra","Malad West","Mumbai","MAHARASHTRA","STC"
"Mandapeshwar S.O","400103","S.O","Delivery","Mumbai  North West","Mumbai","Maharashtra","Borivali West","Mumbai","MAHARASHTRA","STC"
"Motilal Nagar S.O","400104","S.O","Delivery","Mumbai  North West","Mumbai","Maharashtra","Goregaon West","Mumbai","MAHARASHTRA","STC"
"Mantralaya S.O (Mumbai)","400032","S.O","Delivery","Mumbai  South","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Girgaon S.O","400004","S.O","Delivery","Mumbai  South","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Marine Lines S.O","400020","S.O","Delivery","Mumbai  South","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Elephanta Caves Po B.O","400001","B.O","Delivery","Mumbai  South","Mumbai","Maharashtra","Uran","Raigarh(MH)","MAHARASHTRA","STC"
"Kalbadevi H.O","400002","H.O","Delivery","Mumbai  South","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Nariman Point S.O","400021","S.O","Delivery","Mumbai  South","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Colaba S.O","400005","S.O","Delivery","Mumbai  South","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Dharavi S.O","400017","S.O","Delivery","Mumbai  West","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Cumballa Hill S.O","400026","S.O","Delivery","Mumbai  West","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Mahim H.O","400016","H.O","Delivery","Mumbai  West","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Prabhadevi S.O","400025","S.O","Delivery","Mumbai  West","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Grant Road S.O","400007","S.O","Delivery","Mumbai  West","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Tulsiwadi S.O","400034","S.O","Delivery","Mumbai  West","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Rajbhavan S.O (Mumbai)","400035","S.O","Delivery","Mumbai  West","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Bhawani Shankar S.O","400028","S.O","Delivery","Mumbai  West","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Delisle Road S.O","400013","S.O","Delivery","Mumbai  West","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Jacob Circle S.O","400011","S.O","Delivery","Mumbai  West","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Mumbai Central H.O","400008","H.O","Delivery","Mumbai  West","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Malabar Hill S.O","400006","S.O","Delivery","Mumbai  West","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Worli Colony S.O","400030","S.O","Delivery","Mumbai  West","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Worli S.O","400018","S.O","Delivery","Mumbai  West","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Mumbai G.P.O. ","400001","H.O","Delivery","Mumbai G.P.O.","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Ajivali B.O","410221","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Chinchwali B.O","410201","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Chirner B.O","410206","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Uran","Raigarh(MH)","MAHARASHTRA","STC"
"Jagdish Nagar S.O","410216","S.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Manivali B.O","410101","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"N.S.Karanja S.O","400704","S.O","Delivery","New Mumbai","Mumbai","Maharashtra","Uran","Raigarh(MH)","MAHARASHTRA","STC"
"Ulwa B.O","410206","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Dahivali T.Varedi B.O","410101","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Kalamb B.O","410101","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Kashele B.O","410201","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Kelevane B.O","410206","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Kharghar S.O","410210","S.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Khopoli Power House S.O","410204","S.O","Delivery","New Mumbai","Mumbai","Maharashtra","Khopoli","Raigarh(MH)","MAHARASHTRA","STC"
"Koynavale B.O","410208","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Kundevahal B.O","410206","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Patalganga S.O","410220","S.O","Delivery","New Mumbai","Mumbai","Maharashtra","Khalapur","Raigarh(MH)","MAHARASHTRA","STC"
"Rasayani S.O","410207","S.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Shirdhon B.O","410221","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Wavarle B.O","410206","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Khalapur","Raigarh(MH)","MAHARASHTRA","STC"
"Adai B.O","410206","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Airoli S.O","400708","S.O","Delivery","New Mumbai","Mumbai","Maharashtra","Digha","Thane","MAHARASHTRA","STC"
"Apta B.O","410207","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Bhivpuri Camp B.O","410201","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Chawk B.O","410206","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Khalapur","Raigarh(MH)","MAHARASHTRA","STC"
"Humgaon B.O","410201","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Jambrung B.O","410201","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Jci Kamothe B.O","410206","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Jui B.O","410206","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Uran","Raigarh(MH)","MAHARASHTRA","STC"
"Khambewadi B.O","410203","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Khalapur","Raigarh(MH)","MAHARASHTRA","STC"
"Koproli B.O","410206","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Uran","Raigarh(MH)","MAHARASHTRA","STC"
"Lodhivali B.O","410206","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Khalapur","Raigarh(MH)","MAHARASHTRA","STC"
"Mandavane B.O","410201","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Navde B.O","410208","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Uran","Raigarh(MH)","MAHARASHTRA","STC"
"Nere B.O","410206","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Palaspe B.O","410221","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Sai B.O","410221","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Salokh T.Need B.O","410201","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Taloja A.V. S.O","410208","S.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Vashi S.O (Thane)","400703","S.O","Delivery","New Mumbai","Mumbai","Maharashtra","NA","Thane","MAHARASHTRA","STC"
"Borgaon B.O","410101","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Dahivali T.Need B.O","410201","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Jnpt S.O","400707","S.O","Delivery","New Mumbai","Mumbai","Maharashtra","Uran","Raigarh(MH)","MAHARASHTRA","STC"
"Khandas B.O","410201","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Konkan Bhavan S.O","400614","S.O","Delivery","New Mumbai","Mumbai","Maharashtra","NA","Thane","MAHARASHTRA","STC"
"Koshane B.O","410201","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Padghe B.O","410208","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Panvel H.O","410206","H.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Sheva B.O","400702","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Uran","Raigarh(MH)","MAHARASHTRA","STC"
"Vavoshi B.O","410203","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Khalapur","Raigarh(MH)","MAHARASHTRA","STC"
"Ambivali B.O","410201","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Awre B.O","410206","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Uran","Raigarh(MH)","MAHARASHTRA","STC"
"Barapada B.O","410221","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Bokadvira B.O","400702","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Uran","Raigarh(MH)","MAHARASHTRA","STC"
"Dighode B.O","410206","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Uran","Raigarh(MH)","MAHARASHTRA","STC"
"Gaulwadi B.O","410201","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Jasai B.O","410206","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Uran","Raigarh(MH)","MAHARASHTRA","STC"
"Khalapur S.O","410202","S.O","Delivery","New Mumbai","Mumbai","Maharashtra","Khalapur","Raigarh(MH)","MAHARASHTRA","STC"
"Kondivade B.O","410201","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Pathraj B.O","410201","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Akrjat","Raigarh(MH)","MAHARASHTRA","STC"
"Chikhale B.O","410221","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Darave B.O","400706","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Thane","Thane","MAHARASHTRA","STC"
"Karanja B.O","400702","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Uran","Raigarh(MH)","MAHARASHTRA","STC"
"Karjat S.O (Raigarh(MH))","410201","S.O","Delivery","New Mumbai","Mumbai","Maharashtra","NA","Raigarh(MH)","MAHARASHTRA","STC"
"Kirwali B.O","410201","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Mazgaon B.O","410220","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Khalapur","Raigarh(MH)","MAHARASHTRA","STC"
"Morbe B.O","410206","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Ongc Complex,panvel S.O","410221","S.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Sajgaon B.O","410203","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Khalapur","Raigarh(MH)","MAHARASHTRA","STC"
"Sanpada S.O","400705","S.O","Delivery","New Mumbai","Mumbai","Maharashtra","NA","Thane","MAHARASHTRA","STC"
"Somatane B.O","410206","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Tiware B.O","410201","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Vahal B.O","410206","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Beed Budruk B.O","410201","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Devichapada B.O","410208","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Donwat B.O","410203","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Khalapur","Raigarh(MH)","MAHARASHTRA","STC"
"Gaurkamath B.O","410201","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Gavan B.O","410206","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Uran","Raigarh(MH)","MAHARASHTRA","STC"
"Ghansoli S.O","400701","S.O","Delivery","New Mumbai","Mumbai","Maharashtra","Rabale","Thane","MAHARASHTRA","STC"
"Gundge B.O","410201","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Kadav B.O","410201","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Kalamboli Node S.O","410218","S.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Matheran S.O","410102","S.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Millenium Business Park S.O","400710","S.O","Delivery","New Mumbai","Mumbai","Maharashtra","NA","Thane","MAHARASHTRA","STC"
"Mohopada S.O","410222","S.O","Delivery","New Mumbai","Mumbai","Maharashtra","Khalapur","Raigarh(MH)","MAHARASHTRA","STC"
"Nasarapur B.O","410201","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Nhava B.O","410206","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Poshir B.O","410101","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Shelu B.O","410101","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Shilphata S.O","410203","S.O","Delivery","New Mumbai","Mumbai","Maharashtra","Khalapur","Raigarh(MH)","MAHARASHTRA","STC"
"Taloja B.O","410208","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Vakas B.O","410101","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Vashivali B.O","410220","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Khalapur","Raigarh(MH)","MAHARASHTRA","STC"
"Vengaon B.O","410201","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Wawanje B.O","410208","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Gulsunde B.O","410207","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Kegaon B.O","400702","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Uran","Raigarh(MH)","MAHARASHTRA","STC"
"Kopar Khairne S.O","400709","S.O","Delivery","New Mumbai","Mumbai","Maharashtra","NA","Thane","MAHARASHTRA","STC"
"Mangaon T.Varedi B.O","410101","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Nandgaon B.O","410201","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Neral S.O","410101","S.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Nerul Node-III S.O","400706","S.O","Delivery","New Mumbai","Mumbai","Maharashtra","NA","Thane","MAHARASHTRA","STC"
"Palasdari B.O","410201","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Pargaon B.O","410206","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Poyanje B.O","410221","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Sugawe B.O","410201","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Karjat","Raigarh(MH)","MAHARASHTRA","STC"
"Tondra B.O","410208","B.O","Delivery","New Mumbai","Mumbai","Maharashtra","Panvel","Raigarh(MH)","MAHARASHTRA","STC"
"Uran S.O","400702","S.O","Delivery","New Mumbai","Mumbai","Maharashtra","Uran","Raigarh(MH)","MAHARASHTRA","STC"
